"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2011,2012,2013,2014,
"Gibraltar","823","Extensive Margin","between_theil","Value","0.133105576846127","0.136904496679702","0.125558177375453","0.130952921555149",
"Gibraltar","823","Intensive Margin","within_theil","Value","4.79913094039148","5.16188765547327","4.85503026640799","5.76538636273472",
"Gibraltar","823","Export Diversification Index","total_theil","Value","4.9322367","5.2987924","4.9805884","5.8963394",
"Guinea","656","Extensive Margin","between_theil","Value","0.363319977164792","0.867083534083008","0.414178073209897","0.333772651851177",
"Guinea","656","Intensive Margin","within_theil","Value","3.14535626780707","3.79343675990822","4.18416023254395","4.52843570709229",
"Guinea","656","Export Diversification Index","total_theil","Value","3.5086763","4.6605201","4.5983381","4.8622084",
"Gambia, The","648","Extensive Margin","between_theil","Value","0.083338181475483","0.0858110432091053","0.110242987148922","0.0583513383753598",
"Gambia, The","648","Intensive Margin","within_theil","Value","3.20475399645511","3.69080639677122","3.96635754406452","3.92949864268303",
"Gambia, The","648","Export Diversification Index","total_theil","Value","3.2880921","3.7766175","4.0766006","3.98785",
"Guinea-Bissau","654","Extensive Margin","between_theil","Value","0.254508066773839","0.185940872877836","0.15057622268796","0.145547643303871",
"Guinea-Bissau","654","Intensive Margin","within_theil","Value","4.79955542087555","5.26808023452759","4.87267023324966","5.09623324871063",
"Guinea-Bissau","654","Export Diversification Index","total_theil","Value","5.0540633","5.454021","5.0232463","5.2417808",
"Egypt","469","Extensive Margin","between_theil","Value","0.148857712647917","0.153498988064797","0.219671979546547","0.31774564832449",
"Egypt","469","Intensive Margin","within_theil","Value","2.60189512281065","2.58699452878533","2.4063246846199","2.3294660449028",
"Egypt","469","Export Diversification Index","total_theil","Value","2.7507529","2.7404935","2.6259966","2.6472118",
"Eritrea","643","Extensive Margin","between_theil","Value","0.179944898933172","0.311323586625235","1.9452133923769","0.306525141000748",
"Eritrea","643","Intensive Margin","within_theil","Value","2.74807734787464","3.41528748805285","1.49295485019684","5.83369588851929",
"Eritrea","643","Export Diversification Index","total_theil","Value","2.9280221","3.7266111","3.4381683","6.1402211",
"Montserrat","351","Intensive Margin","within_theil","Value","2.99299907684326","3.20043802261352","3.21645760536194","3.41971278190613",
"Australia","193","Intensive Margin","within_theil","Value","3.06006184220314","3.05792498588562","3.12172389030456","3.13393485546112",
"Australia","193","Export Diversification Index","total_theil","Value","3.141454","3.1220667","3.1816525","3.1857936",
"Austria","122","Extensive Margin","between_theil","Value","0.132055896014208","0.130304505320964","0.128255647374317","0.12739017358399",
"Austria","122","Intensive Margin","within_theil","Value","1.47447463124991","1.46446410939097","1.45061310287565","1.47621690295637",
"Austria","122","Export Diversification Index","total_theil","Value","1.6065305","1.5947686","1.5788687","1.6036071",
"Azerbaijan, Republic of","912","Extensive Margin","between_theil","Value","0.106061325973158","0.106247469756255","0.116972468236735","0.10269733518362",
"Azerbaijan, Republic of","912","Intensive Margin","within_theil","Value","5.94946135402279","5.85395682207883","5.83518367860961","5.91021251678467",
"Azerbaijan, Republic of","912","Export Diversification Index","total_theil","Value","6.0555224","5.9602041","5.9521561","6.0129099",
"Mauritania","682","Export Diversification Index","total_theil","Value","4.9947395","4.6725569","4.6729269","4.5095911",
"Montserrat","351","Extensive Margin","between_theil","Value","0.284188592439023","0.290827546561758","0.290513028295749","0.289283335208893",
"Czech Republic","935","Extensive Margin","between_theil","Value","0.0358344502747059","0.0374940820038048","0.0374934636015713","0.0358344502747059",
"Czech Republic","935","Intensive Margin","within_theil","Value","1.91064393520355","1.89187467098236","1.9044554233551","1.96256148815155",
"Czech Republic","935","Export Diversification Index","total_theil","Value","1.9464784","1.9293687","1.9419489","1.9983959",
"Ethiopia","644","Export Diversification Index","total_theil","Value","4.203373","4.0729551","3.8159304","3.9458263",
"Finland","172","Extensive Margin","between_theil","Value","0.312532226985307","0.295548270455585","0.291937517931732","0.286410288419574",
"Finland","172","Intensive Margin","within_theil","Value","1.84171407511843","1.86454148590565","1.91118758916855","1.8884534239769",
"Romania","968","Extensive Margin","between_theil","Value","0.103603012859818","0.130784630775452","0.16199604421848","0.154704250395298",
"Romania","968","Intensive Margin","within_theil","Value","1.94137358665466","1.87330693006516","1.91299158334732","1.92906612157822",
"Romania","968","Export Diversification Index","total_theil","Value","2.0449767","2.0040915","2.0749876","2.0837703",
"Russian Federation","922","Extensive Margin","between_theil","Value","0.0049823851364771","0","0","0",
"Russian Federation","922","Intensive Margin","within_theil","Value","3.90946601478254","3.92986750602722","3.92485499382019","3.80939698219299",
"Russian Federation","922","Export Diversification Index","total_theil","Value","3.9144485","3.9298675","3.924855","3.809397",
"Philippines","566","Export Diversification Index","total_theil","Value","3.147774","3.0965574","3.0599594","3.0818143",
"Papua New Guinea","853","Extensive Margin","between_theil","Value","0.294746511527805","0.24319197325903","0.205013878630293","0.138748899102211",
"Papua New Guinea","853","Intensive Margin","within_theil","Value","3.37958064855775","3.45501367708493","3.45088636875153","3.69132345914841",
"Papua New Guinea","853","Export Diversification Index","total_theil","Value","3.6743271","3.6982057","3.6559002","3.8300724",
"Poland","964","Extensive Margin","between_theil","Value","0.191335814073682","0.200275838375092","0.205357723869383","0.210107094608247",
"Poland","964","Intensive Margin","within_theil","Value","1.47166131436825","1.41889524459839","1.42059892416","1.44249041378498",
"Poland","964","Export Diversification Index","total_theil","Value","1.6629971","1.6191711","1.6259567","1.6525975",
"Korea, Democratic People's Rep. of","954","Extensive Margin","between_theil","Value","0.507638958827727","0.637391631733976","0.668395221586422","0.42122408747673",
"United States","111","Extensive Margin","between_theil","Value","0.0064037830920508","0.0064090626637351","0.0064075029477898","0.0064070218309175",
"United States","111","Intensive Margin","within_theil","Value","1.65251781853658","1.69610951178174","1.71079271360941","1.71627121961228",
"United States","111","Export Diversification Index","total_theil","Value","1.6589216","1.7025186","1.7172002","1.7226782",
"Uzbekistan","927","Extensive Margin","between_theil","Value","0.0124724854301519","0.009031483583676","0.0090593916124097","0.0036166990175843",
"Uzbekistan","927","Intensive Margin","within_theil","Value","3.10265431807784","3.03520513228887","3.2174819625676","3.19912815093994",
"Uzbekistan","927","Export Diversification Index","total_theil","Value","3.1151268","3.0442367","3.2265413","3.202745",
"St. Vincent and the Grenadines","364","Extensive Margin","between_theil","Value","0.0096433245635694","0.01004314672468","0.0080808848142624","0.0080808848142624",
