"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2014","996.01","996.13","996.30","995.68","","0.07%"
"04/30/2014","995.28","1,000.15","1,000.15","993.93","","-0.47%"
"04/29/2014","999.93","994.25","1,001.89","993.14","","0.69%"
"04/28/2014","993.12","992.66","994.40","991.28","","-0.02%"
"04/25/2014","993.35","1,005.24","1,005.25","991.91","","-1.11%"
"04/24/2014","1,004.46","1,005.63","1,006.71","1,001.62","","0.07%"
"04/23/2014","1,003.79","1,009.57","1,011.26","1,002.82","","-0.49%"
"04/22/2014","1,008.72","1,010.62","1,010.74","1,007.55","","-0.20%"
"04/21/2014","1,010.76","1,012.42","1,012.77","1,010.20","","-0.11%"
"04/18/2014","1,011.87","1,010.53","1,012.86","1,010.53","","0.26%"
"04/17/2014","1,009.22","1,002.95","1,010.49","1,002.89","","0.67%"
"04/16/2014","1,002.50","999.24","1,002.64","997.78","","0.26%"
"04/15/2014","999.90","1,012.12","1,012.16","997.22","","-1.17%"
"04/14/2014","1,011.73","1,013.55","1,014.18","1,009.57","","-0.37%"
"04/11/2014","1,015.44","1,019.88","1,019.88","1,010.43","","-0.62%"
"04/10/2014","1,021.74","1,018.46","1,023.12","1,015.51","","0.68%"
"04/09/2014","1,014.83","1,010.87","1,017.99","1,010.87","","0.33%"
"04/08/2014","1,011.49","1,003.71","1,014.67","1,003.58","","0.73%"
"04/07/2014","1,004.15","1,002.24","1,004.79","999.49","","0.21%"
"04/04/2014","1,002.04","999.48","1,006.08","997.62","","0.19%"
"04/03/2014","1,000.17","1,004.36","1,006.80","998.38","","-0.48%"
"04/02/2014","1,004.97","1,001.47","1,004.97","1,000.16","","0.42%"
"04/01/2014","1,000.79","993.35","1,001.05","992.89","","0.62%"
"03/31/2014","994.65","985.30","994.65","984.04","","0.99%"
"03/28/2014","984.91","975.53","986.53","975.53","","0.99%"
"03/27/2014","975.29","968.67","975.94","966.87","","0.73%"
"03/26/2014","968.23","960.16","970.23","960.05","","1.02%"
"03/25/2014","958.49","953.89","959.71","952.19","","0.48%"
"03/24/2014","953.90","945.00","955.45","945.00","","0.95%"
"03/21/2014","944.96","941.25","946.97","940.85","","0.45%"
"03/20/2014","940.70","947.53","947.53","935.24","","-1.04%"
"03/19/2014","950.59","952.90","953.36","947.09","","-0.20%"
"03/18/2014","952.48","944.02","952.48","944.02","","0.98%"
"03/17/2014","943.22","938.07","943.91","937.28","","0.59%"
